symbol,role,universe,timezone,bigbang,active
AVGO,target,semiconductor,America/New_York,2025-08-08 04:00:00,true
AMAT,target,semiconductor,America/New_York,2019-12-02 08:00:00,true
NVDA,target,semiconductor,America/New_York,2019-12-02 04:00:00,true
